1,Randie,Kinworthy,Moldova,2008
2,Merrill,Dows,Russia,2006
3,Dom,Hounihan,Iceland,2006
4,Franchot,Gartside,Sweden,1986
5,Nora,Filintsev,Indonesia,1993
6,Kennith,Gurr,China,2012
7,Dalenna,Pendock,China,1995
8,Ron,Sushams,Indonesia,2002
9,Tucker,Archbald,Argentina,2004
10,Ros,Wolters,Czech Republic,1994
11,Rafferty,Bohlmann,China,1989
12,Pierette,Matthieson,Panama,2010
13,Merna,Pegrum,Czech Republic,1990
14,Ferdy,Maycey,South Africa,1986
15,Emory,Corsar,Slovenia,1999
16,Wyndham,Blondel,Mexico,2007
17,Onfroi,Shawdforth,Brazil,1999
18,Dixie,Huitson,Japan,1996
19,Gianna,Kilby,China,1993
20,Aubrette,Cattemull,Germany,2004
21,Ainslie,Worrill,Brazil,2002
22,Ware,Jobling,China,1985
23,Ruttger,Wellard,Philippines,2005
24,Andres,Farfalameev,China,2003
25,Marna,Pratten,Russia,2007
26,Robin,Spry,China,2003
27,Julian,Ellerington,Russia,1990
28,Dena,Anthona,Philippines,2001
29,Dagny,Cribbin,Philippines,1990
30,Leticia,Di Biagi,Brazil,1995
31,Osbourn,Langcastle,Indonesia,2011
32,Garner,Tunnadine,Indonesia,1987
33,Quentin,Simnell,Poland,1992
34,Gabriel,Brimilcome,China,1996
35,Doris,Liles,Indonesia,2009
36,Haroun,Bendare,Indonesia,2008
37,Pauly,Delcastel,Senegal,2001
38,Leon,Renouf,Jamaica,1989
39,Marillin,Luety,China,1993
40,Berthe,Wheatcroft,Iraq,1985
41,Jarrid,Chastenet,China,1986
42,Libbi,Gansbuhler,Spain,1987
43,Aube,Portlock,China,1948
44,Robbie,Matthius,Turkmenistan,2004
45,Leeland,Izatt,China,1999
46,Jennie,Trobey,Indonesia,2009
47,Ailina,Allon,China,1991
48,Joann,Ickov,Peru,1993
49,Francoise,Skurm,Mexico,2008
50,Tymothy,O'Duggan,Ukraine,2003
51,Cassie,Houson,China,2009
52,Nelly,Beckham,Serbia,2006
53,Mickey,Frankema,China,1970
54,Berte,Northage,Poland,1993
55,Kip,Gouthier,China,2005
56,Alidia,Kelly,France,1993
57,Hermia,Wallentin,Peru,2005
58,Ed,Artingstall,Indonesia,2010
59,Merrel,Common,France,1996
60,Joseph,Dibbs,Tunisia,2002
61,Ali,St. Pierre,Pakistan,1983
62,Johanna,Duplock,Yemen,2008
63,Koralle,Trunchion,Netherlands,1998
64,Guglielma,Gauler,Portugal,1996
65,Andie,Ortler,China,1986
66,Waly,Robbe,Uzbekistan,2007
67,Lucila,Yacob,Indonesia,2011
68,Lauren,Ameer-Beg,Philippines,1994
69,Correy,Loughnan,Russia,2007
70,Ainslee,De Ath,Jordan,2012
71,Farrell,Bott,Turkey,2013
72,Raffaello,Tritten,China,1993
73,Fayre,McCartan,France,1998
74,Iago,Crady,Uruguay,1985
75,Karna,Kilius,Czech Republic,1994
76,Halette,Gibbonson,China,2006
77,Maxi,Kornyshev,China,1993
78,Elga,Cockton,Kazakhstan,2006
79,Alair,Saltwell,France,2005
80,Mortie,D'Almeida,Egypt,2010
81,Boot,Copcott,Greece,1993
82,Nevins,Mauchlen,Canada,1997
83,Ingeberg,McKirton,China,1993
84,Barthel,Benning,Iran,2010
85,Hali,Corp,China,2001
86,Cleopatra,Poff,Albania,2001
87,Hal,Brimmicombe,Nicaragua,1992
88,Jenica,Entreis,Russia,1994
89,Genni,Wheatcroft,Kenya,2000
90,Sigismund,Deare,Indonesia,2011
91,Adriana,Leetham,Indonesia,2011
92,Delphinia,Arents,Chile,1996
93,Caresa,Drewell,Thailand,1969
94,Erinn,Letham,Indonesia,1998
95,Nari,Chapelle,Brazil,2006
96,Evangelin,Crandon,Honduras,2002
97,Fidelity,Beatty,China,2012
98,Rhoda,Rozalski,Indonesia,1996
99,Kenneth,Bittleson,China,1987
100,Van,Kowalski,Russia,1994
101,Matilda,Mandrier,China,1998
102,Constancia,Verzey,Nigeria,2008
103,Shelli,Berrigan,Indonesia,2011
104,Kare,Chelsom,Russia,2007
105,Ally,Matityahu,United States,1997
106,Poul,Praill,Indonesia,1995
107,Annadiane,Coonihan,Peru,1995
108,Nestor,Manilo,China,1990
109,Rubi,Vergine,Indonesia,1985
110,Ly,Benesevich,Indonesia,2002
111,Lura,Pettifor,China,1997
112,Rebeka,Cash,France,2011
113,Randolph,Woolbrook,Thailand,2006
114,Lenna,Mant,Ivory Coast,1992
115,Vincenty,Hauger,Peru,1993
116,Damon,Edgell,Thailand,2009
117,Maris,Blumsom,Philippines,1993
118,Eberto,Tebbut,Zambia,2008
119,Carlynne,Clifton,Japan,1989
120,Kelwin,Trippick,Peru,2002
121,Emilio,Rogliero,Sweden,1987
122,Tedmund,Switsur,Albania,2009
123,Ashil,Danis,Nigeria,1956
124,Galvan,Bawme,Brazil,2007
125,Saudra,Damp,Philippines,2000
126,Archer,Reek,Yemen,1998
127,Andrey,Poluzzi,Dominican Republic,1986
128,Mauricio,Moscrop,China,2010
129,Hanni,Karys,China,2001
130,Rafaello,Glenny,Russia,1987
131,Haydon,Cockerham,Indonesia,1997
132,Rodrique,Richt,Indonesia,1990
133,Catarina,Hertwell,Indonesia,2003
134,Nels,Dulling,Indonesia,2004
135,Rowe,Claremont,Poland,2005
136,Drake,Gartland,Philippines,2007
137,Berna,Pesselt,China,2009
138,Marc,Haveline,China,1993
139,Cyrillus,Flatt,China,1992
140,Tamarah,Flieg,Japan,1998
141,Chantal,McGloughlin,Russia,2010
142,Zola,Erik,Yemen,2011
143,Iris,Miche,China,2011
144,Carlin,Bachellier,Czech Republic,1992
145,Torie,Fuggle,Sweden,2010
146,Lula,Kelmere,France,2002
147,Otho,Kleimt,Indonesia,2004
